0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:17:37 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:18:25 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6997
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:18:25 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:18:25 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:18:25 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:18:29 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:19:00 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6961
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:19:00 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:19:00 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:19:00 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:19:04 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:37:35 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6961
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:37:35 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:37:35 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:37:35 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
